,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,CLASS,PLAYER NAME,,,CLAN NAME,,,,,,,,,,TOTAL,,,KILLS PER,,,TOTAL KILLS,,
NUMBER,,PROFESSIONAL,IN - GAME,,TEAM NAME,CLAN ,,,GENDER,REGION,COUNTRY,DEVICE,D.MODEL,,MATCHES,EVENTS,,/MATCH,/EVENTS,,,,
1,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
,CLASS 1,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,,,,
